"LAKE.ID","LAKE.NAME","PROVINCE","LAT","LONG","ELEVATION","LAKE.AREA","LAKE.MAXDEPTH","WATERBODY.TYPE","TROPHIC.STATE","RES.TIME","LAKEPH.CAT","REF.ID.1","REF.ID.2","REF.ID.3","REF.ID.4","REF.ID.5","REF.ID.6","COMMENT"
"ONH","Lake Ontario/Hamilton Harbour","ON",43.2814973,-79.8311738,75,22,24,"Natural Lake","Mesotrophic",NA,"Moderately Alkaline","2013_Loh","1998_Azcue","","","","","1990_Mayer discusses P-Fe relationship;"
"ONQ","Lake Ontario/Bay of Quinte","ON",44.1466267,-77.2614967,75,254,52,"Natural Lake","Eutrophic",0.111111111111111,"Moderately Alkaline","1996_Manning","1990_Sly","1999_Nicholls","","","","Area of BoQ in 1993_Oluyedun"
"PAS","Pasqua Lake","SK",50.7766,-103.9927,476,20.2,15.5,"Natural Lake","Eutrophic",0.7,"Moderately Alkaline","1978_Allan","","","","","","Additional information in Table 1 1999_Hall"
"PEB","Pebbleloggitch Lake","NS",44.3,-65.35,117,0.33,2.5,"Natural Lake","Oligotrophic",2.9,"Moderately Acidic","1990_Beauchamp","","","","","","Tables 1 and 2; TP in Table 3"
"PIT","Paint-10 Pond","ON",45.2333,-78.9333,316,0.01,NA,"Wetland","Oligotrophic",NA,"Moderately Acidic","1988_Nurnberg","","","","","","Nurnberg describes this as a beaver pond and did not record max depth."
"PLA","Plastic Lake","ON",45.1801,-78.822,379,0.3214,16,"Natural Lake","Oligotrophic",3.9,"Moderately Acidic","1996_Dillon","","","","","","Additional information in 1992_Rowan"
"PRQ","Presquile Lake","NS",46.6902777777778,-60.9569444444444,2,0.04,3,"Natural Lake","Oligotrophic",14.7,"Neutral","1990_Beauchamp","","","","","","Tables 1 and 2; TP in Table 3"
"RCE","Red Chalk Lake","ON",45.1898,-78.9477,343,0.13,38,"Natural Lake","Oligotrophic",2.63,"Moderately Acidic","1987_Nurnberg","1988_Nurnberg","1996_Dillon","","","","Additional information in 1992_Rowan"
"SAN","Lake Erie/Sanctuary Pond","ON",41.9822996,-82.5426076,174,0.485,NA,"Wetland","Hypereutrophic",NA,"Moderately Alkaline","1999_Mayer","","","","","","Located in Point Pelee National Park; Water chemistry in Table 1."
"SIM","Lake Simcoe","ON",44.488593,-79.332912,219,722.4,41,"Natural Lake","Mesotrophic",NA,"Moderately Alkaline","2013_Loh","2013_Nurnberg(b)","2015_Gudimov","2013_Dittrich","","","additional: 2013_Loh data.xls (actually has data not present in paper); 2013_Dittrich"
"STG","St. George Lake","ON",43.9572107,-79.426943,298,0.05,16,"Natural Lake","Eutrophic",NA,"Moderately Alkaline","1988_Nurnberg","","","","","","located in York, ON"
"SUP","Lake Superior","ON",46.9833333333333,-91.6371666666667,183,59600,229,"Natural Lake","Oligotrophic",NA,"Neutral","2004_Heinen","","","","","","Additional information in GLIN website"
"TBR","Tabor Lake","BC",53.9244,-122.5342,703,3.8,9.2,"Natural Lake","Eutrophic",NA,"Moderately Alkaline","2001_Petticrew","","","","","",""
"TIE","East Twin Lake","NB",45.309115,-66.607956,190,NA,NA,"Natural Lake","",NA,"Moderately Acidic","1990_Beauchamp","","","","","","Tables 1 and 2; TP in Table 3"
"TIW","West Twin Lake","NB",45.3083333333333,-66.6166666666667,171,NA,NA,"Natural Lake","",NA,"Moderately Acidic","1990_Beauchamp","","","","","","Tables 1 and 2; TP in Table 3"
"TOU","Touchwood Lake","AB",54.833,-111.379,631,29,40,"Natural Lake","Mesotrophic",70,"Moderately Alkaline","2011_Ballard","","","","","",""
"TUC","Tucker Lake","AB",54.5343,-110.6072,553,6.65,7.5,"Natural Lake","Eutrophic",1.5,"Neutral","1990_Shaw(b)","1990_Shaw(c)","","","","",""
"WAB","Wabamun Lake","AB",53.5461,-114.5895,725,81.8,11,"Natural Lake","Mesotrophic",NA,"Moderately Alkaline","1984_Mitchell","","","","","",""
"WIN","Lake Winnipeg/North Basin","MB",53.1666,-97.8333,217,17520,19,"Regulated Lake","Eutrophic",3.5,"Moderately Alkaline","2013_Loh","","","","","","Additional information in State of Lake Winnipeg, 1997-2007, and Wassenaar 2012, JGLR 38:123"
"WOL","Wolfe Lake","NB",45.6625,-65.1491666666667,297,0.22,9.1,"Natural Lake","Oligotrophic",1.9,"Neutral","1990_Beauchamp","","","","","","Tables 1 and 2; TP in Table 3"
