"REF.ID","FIRSTAUTHOR","REF.YEAR","TYPE.PDATA","COMMENT","REF.TITLE","REF.JOURNAL","REF.VOLUME","REF.PAGES","REF.THESIS.UNIV","REF.THESIS.LEVEL","DOI"
"2010_Chaffin","Chaffin",2010,"SRP","","Burrowing mayfly (Ephemeroptera: Ephemeridae: Hexagenia spp.) bioturbation and bioirrigation: A source of internal phosphorus loading in Lake Erie","Journal of Great Lakes Research","36","57-63","","","10.1016/j.jglr.2009.09.003"
"2011_Ballard","Ballard",2011,"","Nathan provided data in Excel - see data folder.","Mechanisms and algal ecology of internal phosphorus loading in alkaline eutrophic lakes","","","98","University of Alberta, Edmonton, Alberta, Canada","M.Sc.",""
"2011_Dayton","Dayton",2011,"","","Cladophora, mass transport, and the nearshore phosphorus shunt","","","68","Michigan Technological University","M.Sc.",""
"2011_ShawChraibi","Shaw Chraibi",2011,"","No data; background information on Lake Memphremagog","Conservation of a transboundary lake: Historical watershed and paleolimnological analyses can inform management strategies","Lake and Reservoir Management","27","355-364","","","10.1080/07438141.2011.629768"
"2011_Smith","Smith",2011,"SRP","","Relating sediment phosphorus mobility to seasonal and diel redox fluctuations at the sediment – water interface in a eutrophic freshwater lake","Limnology and Oceanography","56","2251-2264","","","10.4319/lo.2011.56.6.2251"
"2012_Ansems","Ansems",2012,"","","Phosphorus and iron dynamics in lake sediments","","","65","Utrecht University","M.Sc.",""
"2012_James","James",2012,"SRP","","Estimation of Internal Phosphorus Loading Contributions to the Lake of the Woods, Minnesota","","","42","","",""
"2012_Labrecque","Labrecque",2012,"TP","","Caracterisation de la charge interne de phosphore du Lac Nairne, Charlevoix, Quebec","Revue des Sciences de l'Eau","25","77-93","","","10.7202/1008537ar"
"2012_Steinman","Steinman",2012,"SRP","","Water level fluctuation and sediment – water nutrient exchange in Great Lakes coastal wetlands","Journal of Great Lakes Research","38","766-775","","","10.1016/j.jglr.2012.09.020"
"2013_Dittrich","Dittrich",2013,"Porewater=SRP; Flux=SRP","","Phosphorus retention in a mesotrophic lake under transient loading conditions: Insights from a sediment phosphorus binding form study","Water Research","47","1433-1447","","","10.1016/j.watres.2012.12.006"
"2013_Fred","Fred",2013,"","","Internal Nutrient Loading of the Lake Manitoba South Basin","","","vii + 163","University of Manitoba","M.Sc.",""
"2013_Loh","Loh",2013,"TP","data: 2013_Loh-data.xls","Evaluating relationships between sediment chemistry and anoxic phosphorus and iron release across three different water bodies","Inland Waters","3","105-118","","","10.5268/IW-3.1.533"
"2013_McCulloch","McCulloch",2013,"","The data in here are from a mechanistic model and I don't think are really appropriate for our synthesis. Also, we have a lot of estimates for Lake Simcoe.  This is an interesting paper from a mechanism standpoint, though!","Dynamics of P-binding forms in sediments of a mesotrophic hard-water lake: Insights from non-steady state reactive-transport modeling, sensitivity and identifiability analysis","Chemical Geology","354","216-232","","","10.1016/j.chemgeo.2013.06.011"
"2013_Nurnberg(b)","Nurnberg",2013,"TP","","Quantification of internal phosphorus load in large, partially polymictic and mesotrophic Lake Simcoe, Ontario","Journal of Great Lakes Research","39","271-279","","","10.1016/j.jglr.2013.03.017"
"2014_Matisoff","Matisoff",2014,"TP","","Sediment resuspension in the Lake Erie nearshore","Journal of Great Lakes Research","40","532-540","","","10.1016/j.jglr.2014.02.001"
"2015_Doig","Doig",2016,"TRP; TP","updated, could be 2016_Doig","Phosphorus release from sediments in a river-valley reservoir in the northern Great Plains of North America","Hydrobiologia","","17","","","10.1007/s10750-016-2977-2"
"2015_Gudimov","Gudimov",2015,"TP","","Examination of the role of dreissenids and macrophytes in the phosphorus dynamics of Lake Simcoe, Ontario, Canada","Ecological Informatics","26","36-53","","","10.1016/j.ecoinf.2014.11.007"
"2015_North","North",2015,"TP","updated","Evidence for internal phosphorus loading in a large prairie reservoir (Lake Diefenbaker, Saskatchewan)","Journal of Great Lakes Research","41","91-99","","","10.1016/j.jglr.2015.07.003"
"2015_Orihel(a)","Orihel",2015,"SRP/TDP","Also includes 2013_Orihel","The ""nutrient pump"" iron-poor sediments fuel low nitrogen-to- phosphorus ratios and cyanobacterial blooms in polymictic lakes","Limnology and Oceanography","60","856-871","","","10.1002/lno.10076"
"2015_Orihel(b)","Orihel",2016,"TP","updated, could be 2016_Orihel","Experimental iron amendment suppresses toxic cyanobacteria in a hypereutrophic lake","Ecological Applications","26","1517-1534","","","10.1890/15-1928"
"1997_Richmond","Richmond",1997,"","No data; background information on Killarney Lake, MB","Paleolimological analysis of sediments from Killarney Lake, Manitoba","","","","University of Manitoba","M.Sc.",""
