"F.ID","LAKE.ID","SITE.ID","METHOD","FCLASS","START.SEASON","END.SEASON","START.DATE","DURATION","TEMPERATURE","pH","O2.CAT","LIGHT.CAT","REPS","SRP.VALUE","SRP.UNITS","TDP.VALUE","TDP.UNITS","TP.VALUE","TP.UNITS","REF.ID","COMMENT","FLAG","FLAG.COMMENT"
"F0030","CHU","CHUB","OTHER MODEL","","SUMMER","SPRING","06/01/76 00:00:00",NA,NA,NA,"INSITU(ANOXIC)","INSITU",9,NA,"",NA,"",2.45,"mg/m2/d","1986_Nurnberg","increases of P at fall turnover; difference between background and whole-lake concentration after fall turnover between 1976-1984",0,""
"F0031","CHU","C245","CORE INCUBATION","Lgross","FALL","","11/14/84 00:00:00",NA,11,NA,"ANOXIC","DARK",1,NA,"",NA,"",1.817,"mg/m2/d","1987_Nurnberg","",0,""
"F0032","CHU","CH23","CORE INCUBATION","Lgross","SPRING","","03/14/85 00:00:00",NA,11,NA,"OXIC","DARK",3,NA,"",NA,"",0.314,"mg/m2/d","1987_Nurnberg","",0,""
"F0033","CHU","CH24","CORE INCUBATION","Lgross","FALL","","09/21/84 00:00:00",NA,11,NA,"ANOXIC","DARK",6,NA,"",NA,"",1.53,"mg/m2/d","1987_Nurnberg","",0,""
"F0034","RCE","RC12","CORE INCUBATION","Lgross","SUMMER","","07/20/84 00:00:00",NA,11,NA,"ANOXIC","DARK",3,NA,"",NA,"",0.051,"mg/m2/d","1987_Nurnberg","core dimensions: same as 1986_Nurnberg?",0,""
"F0035","RCE","RC14","CORE INCUBATION","Lgross","SUMMER","","07/23/84 00:00:00",NA,11,NA,"ANOXIC","DARK",3,NA,"",NA,"",-0.004,"mg/m2/d","1987_Nurnberg","",0,""
"F0036","RCE","RC16","CORE INCUBATION","Lgross","SUMMER","","08/14/84 00:00:00",NA,11,NA,"ANOXIC","DARK",5,NA,"",NA,"",-0.105,"mg/m2/d","1987_Nurnberg","",0,""
"F0037","RCE","RC17","CORE INCUBATION","Lgross","SUMMER","","07/17/84 00:00:00",NA,11,NA,"ANOXIC","DARK",9,NA,"",NA,"",0.163,"mg/m2/d","1987_Nurnberg","",0,""
"F0038","CHU","CHUN","CORE INCUBATION","Lgross","SUMMER","","06/01/76 00:00:00",NA,11,5.7,"ANOXIC","DARK",8,1.17,"mg/m2/d",NA,"",1.43,"mg/m2/d","1988_Nurnberg","core collected in summer of 1984 or 1985",0,""
"F0039","MUS","GRBM","CORE INCUBATION","Lgross","SUMMER","","06/01/81 00:00:00",NA,11,7,"ANOXIC","DARK",6,5.89,"mg/m2/d",NA,"",5.27,"mg/m2/d","1988_Nurnberg","core collected in summer of 1984 or 1985",0,""
"F0040","PIT","PA10","CORE INCUBATION","Lgross","SUMMER","","06/01/83 00:00:00",NA,11,5.5,"ANOXIC","DARK",4,0.14,"mg/m2/d",NA,"",0.04,"mg/m2/d","1988_Nurnberg","core collected in summer of 1984 or 1985",0,""
"F0041","RCE","RCEN","CORE INCUBATION","Lgross","SUMMER","","06/01/77 00:00:00",NA,11,6.4,"ANOXIC","DARK",22,0.09,"mg/m2/d",NA,"",0.05,"mg/m2/d","1988_Nurnberg","core collected in summer of 1984 or 1985",0,""
"F0042","STG","STGN","CORE INCUBATION","Lgross","SUMMER","","06/01/80 00:00:00",NA,11,8,"ANOXIC","DARK",8,2.64,"mg/m2/d",NA,"",2.22,"mg/m2/d","1988_Nurnberg","core collected in summer of 1984 or 1985",0,""
"F0043","NAR","NARS","POREWATER PROFILE","Lgross","SPRING","SUMMER","05/15/85 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.11,"mg/m2/d",NA,"",NA,"","1989_Shaw","p983: flux across the sediment water interface calculated according to Berner 1980",0,""
"F0044","ADL","ADLB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0045","ANT","ANTB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,-0.007,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0046","BDE","BDEB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.007,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980; sediment characteristics in Appendix D",0,""
"F0047","BDW","BDWB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.267,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980; sediment characteristics in Appendix D",0,""
"F0048","BEA","BEAB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.014,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980; sediment characteristics in Appendix D",0,""
"F0049","BNT","BNTB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0050","BOG","BOGB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0051","CAA","CAAB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0052","DRA","DRAB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.002,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0053","FRC","FRCB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0054","FWR","FWRB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.014,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0055","JKL","JKLB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0056","JOD","JO1B","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.05,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0057","JOD","JO2B","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.007,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0058","KEJ","KEJB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.188,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0059","LAY","LAYB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.361,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0060","LSP","LSPB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,-0.007,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980; sediment characteristics in Appendix D",0,""
"F0061","MCL","MCLB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.106,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0062","MUD","MUDB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0063","NET","NETB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0064","PEB","PEBB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.115,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980; sediment characteristics in Appendix D",0,""
"F0065","PRQ","PRQB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.217,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0066","TIE","TIEB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.029,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0067","TIW","TIWB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.007,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0068","WOL","WOLB","POREWATER PROFILE","Lgross","SUMMER","","07/15/87 00:00:00",NA,NA,NA,"INSITU(UNKNOWN)","INSITU",NA,0.011,"mg/m2/d",NA,"",NA,"","1990_Beauchamp","p63: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0069","BAP","BASI","POREWATER PROFILE","Lgross","SUMMER","","04/15/87 00:00:00",14,NA,8.1,"INSITU(ANOXIC)","INSITU",NA,0.3,"mg/m2/d",NA,"",NA,"","1990_Shaw(c)","p552: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0070","ISL","ISNI","POREWATER PROFILE","Lgross","SUMMER","","07/15/86 00:00:00",14,NA,8,"INSITU(ANOXIC)","INSITU",NA,0.1,"mg/m2/d",NA,"",NA,"","1990_Shaw(c)","p552: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0071","JEN","JENI","POREWATER PROFILE","Lgross","SUMMER","","07/15/86 00:00:00",14,NA,8.2,"INSITU(ANOXIC)","INSITU",NA,0.5,"mg/m2/d",NA,"",NA,"","1990_Shaw(c)","p552: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0072","LON","LONI","POREWATER PROFILE","Lgross","SUMMER","","07/15/86 00:00:00",14,NA,8.2,"INSITU(ANOXIC)","INSITU",NA,0.4,"mg/m2/d",NA,"",NA,"","1990_Shaw(c)","p552: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0073","MNI","MNII","POREWATER PROFILE","Lgross","SUMMER","","04/15/87 00:00:00",14,NA,9.3,"INSITU(ANOXIC)","INSITU",NA,1.5,"mg/m2/d",NA,"",NA,"","1990_Shaw(c)","p552: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0074","NAR","NARI","POREWATER PROFILE","Lgross","SUMMER","","07/15/86 00:00:00",14,NA,8,"INSITU(ANOXIC)","INSITU",NA,0.04,"mg/m2/d",NA,"",NA,"","1990_Shaw(c)","p552: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0075","TUC","TUCI","POREWATER PROFILE","Lgross","SUMMER","","07/15/86 00:00:00",14,NA,9.2,"INSITU(HYPOXIC)","INSITU",NA,0.2,"mg/m2/d",NA,"",NA,"","1990_Shaw(c)","p552: p flux by molecular diffusion was calculated according to Berner 1980",0,""
"F0076","ONQ","QUBH","POREWATER PROFILE","Lgross","SUMMER","","06/07/87 00:00:00",90,18.7,7.69,"INSITU(HYPOXIC)","INSITU",NA,NA,"",9.3,"mg/m2/d",NA,"","1990_Sly","Table 4: Down minus H; Down-DO used to determine O2_CAT",0,""
"F0077","ONQ","QUBO","POREWATER PROFILE","Lgross","SUMMER","","06/07/87 00:00:00",90,19.4,7.36,"INSITU(HYPOXIC)","INSITU",NA,NA,"",-3.73,"mg/m2/d",NA,"","1990_Sly","Table 4: Down minus H; Down-DO used to determine O2_CAT",0,""
"F0078","ONQ","QUBP","POREWATER PROFILE","Lgross","SUMMER","","06/07/87 00:00:00",146,17.5,7.32,"INSITU(OXIC)","INSITU",NA,NA,"",0.93,"mg/m2/d",NA,"","1990_Sly","Table 4: Down minus H; Down-DO used to determine O2_CAT",0,""
"F0079","CRM","CRML","CORE INCUBATION","Lgross","SUMMER","","",14,NA,6.4,"ANOXIC","",12,NA,"",NA,"",-0.06,"mg/g/d","1993_deMontigny","May to Jul pre-experimental data; used pre-experimental data for flux value; experimental flux chamber: 0.2m height, 0.6m diameter, 8L sediment, 32L water, chamber was agitated twice/d; Fe flux measured; release rate calculated as least squares slope of c",1,"Inappropriate units for P flux rate."
"F0080","HFM","HFMW","OTHER MODEL","Lnet","SUMMER","","06/01/82 00:00:00",80,NA,9.05,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",6.25,"mg/m2/d","1994_Babin","pre-lime treatment; flux calculated as slope of regression line of whole-lake P mass (g/m2) against time - devised from sectioned sediment cores; oxygen conditions described on p137",0,""
"F0081","HFM","HFMW","OTHER MODEL","Lnet","SUMMER","","06/01/88 00:00:00",76,NA,9.05,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",5.22,"mg/m2/d","1994_Babin","flux calculated as slope of regression line of whole-lake P mass (g/m2) against time - devised from sectioned sediment cores; oxygen conditions described on p137",1,"WLE: lime added Jul-1988 and Aug-1989"
"F0082","HFM","HFMW","OTHER MODEL","Lnet","WINTER","","11/26/88 00:00:00",77,NA,9.05,"INSITU(OXIC)","INSITU",NA,NA,"",NA,"",3.6,"mg/m2/d","1994_Babin","flux calculated as slope of regression line of whole-lake P mass (g/m2) against time - devised from sectioned sediment cores; oxygen conditions described on p137",1,"WLE: lime added Jul-1988 and Aug-1989"
"F0083","HFM","HFMW","OTHER MODEL","Lnet","SUMMER","","06/01/89 00:00:00",83,NA,9.05,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",2.71,"mg/m2/d","1994_Babin","flux calculated as slope of regression line of whole-lake P mass (g/m2) against time - devised from sectioned sediment cores; oxygen conditions described on p137",1,"WLE: lime added Jul-1988 and Aug-1989"
"F0084","HFM","HFMW","OTHER MODEL","Lnet","WINTER","","11/27/89 00:00:00",73,NA,9.05,"INSITU(OXIC)","INSITU",NA,NA,"",NA,"",0.44,"mg/m2/d","1994_Babin","flux calculated as slope of regression line of whole-lake P mass (g/m2) against time - devised from sectioned sediment cores; oxygen conditions described on p137",1,"WLE: lime added Jul-1988 and Aug-1989"
"F0085","HFM","HFMW","OTHER MODEL","Lnet","SUMMER","","06/01/90 00:00:00",83,NA,9.05,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",3.15,"mg/m2/d","1994_Babin","flux calculated as slope of regression line of whole-lake P mass (g/m2) against time - devised from sectioned sediment cores; oxygen conditions described on p137",1,"WLE: lime added Jul-1988 and Aug-1989"
"F0086","HFM","HFMW","OTHER MODEL","Lnet","WINTER","","11/26/90 00:00:00",77,NA,9.05,"INSITU(OXIC)","INSITU",NA,NA,"",NA,"",1.14,"mg/m2/d","1994_Babin","flux calculated as slope of regression line of whole-lake P mass (g/m2) against time - devised from sectioned sediment cores; oxygen conditions described on p137",1,"WLE: lime added Jul-1988 and Aug-1989"
"F0087","BCH","BCHD","OTHER MODEL","","SUMMER","FALL","08/15/78 00:00:00",NA,NA,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",0.0583561643835616,"mg/m2/d","1996_Dillon","summer multiyear average to 1988; mass balance calculation description on p2275",0,""
"F0088","BCH","BCHD","OTHER MODEL","","WINTER","SPRING","02/15/78 00:00:00",NA,NA,NA,"INSITU(OXIC)","INSITU",NA,NA,"",NA,"",0.010958904109589,"mg/m2/d","1996_Dillon","winter multiyear average to 1988; mass balance calculation description on p2275",0,""
"F0089","CHU","CHUD","OTHER MODEL","","SUMMER","FALL","08/15/78 00:00:00",NA,NA,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",0.133150684931507,"mg/m2/d","1996_Dillon","summer multiyear average to 1988; mass balance calculation description on p2275",0,""
"F0090","CHU","CHUD","OTHER MODEL","","WINTER","SPRING","02/15/78 00:00:00",NA,NA,NA,"INSITU(OXIC)","INSITU",NA,NA,"",NA,"",0.026027397260274,"mg/m2/d","1996_Dillon","winter multiyear average to 1988; mass balance calculation description on p2275",0,""
"F0091","CRO","CROD","OTHER MODEL","","SUMMER","FALL","08/15/80 00:00:00",NA,NA,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",0.113698630136986,"mg/m2/d","1996_Dillon","summer multiyear average to 1988; mass balance calculation description on p2275",0,""
"F0092","CRO","CROD","OTHER MODEL","","WINTER","SPRING","02/15/80 00:00:00",NA,NA,NA,"INSITU(OXIC)","INSITU",NA,NA,"",NA,"",0.0238356164383562,"mg/m2/d","1996_Dillon","winter multiyear average to 1988; mass balance calculation description on p2275",0,""
"F0093","DIK","DIKD","OTHER MODEL","","SUMMER","FALL","08/15/78 00:00:00",NA,NA,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",0.0978082191780822,"mg/m2/d","1996_Dillon","summer multiyear average to 1988; mass balance calculation description on p2275",0,""
"F0094","DIK","DIKD","OTHER MODEL","","WINTER","SPRING","02/15/78 00:00:00",NA,NA,NA,"INSITU(OXIC)","INSITU",NA,NA,"",NA,"",0.0394520547945205,"mg/m2/d","1996_Dillon","winter multiyear average to 1988; mass balance calculation description on p2275",0,""
"F0095","HAR","HARD","OTHER MODEL","","SUMMER","FALL","08/15/78 00:00:00",NA,NA,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",0.0871232876712329,"mg/m2/d","1996_Dillon","summer multiyear average to 1988; mass balance calculation description on p2275",0,""
"F0096","HAR","HARD","OTHER MODEL","","WINTER","SPRING","02/15/78 00:00:00",NA,NA,NA,"INSITU(OXIC)","INSITU",NA,NA,"",NA,"",0.0427397260273973,"mg/m2/d","1996_Dillon","winter multiyear average to 1988; mass balance calculation description on p2275",0,""
"F0097","PLA","PLAD","OTHER MODEL","","SUMMER","FALL","08/15/79 00:00:00",NA,NA,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",0.0526027397260274,"mg/m2/d","1996_Dillon","summer multiyear average to 1988; mass balance calculation description on p2275",0,""
